,State,County,Population,Median Age,Household Income,Per Capita Income,Poverty Count,Poverty Rate,Unemployed Citizens,Men in Law-Enforcement,Women in Law-Enforcement,Law-Enforcement per 1000,Unemployment Rate (%)
54,ARKANSAS,ST. FRANCIS,27023,38,35066,16540,5761,21.31887651,1125,187,132,11.80475891,4.163120305
55,ARKANSAS,SALINE,115577,39.2,57632,26963,9706,8.397864627,2714,574,128,6.073872829,2.348218071
56,ARKANSAS,SCOTT,10661,42,37861,17934,2204,20.67348279,569,50,11,5.721789701,5.337210393
57,ARKANSAS,SEARCY,7938,47.5,35542,20618,1619,20.39556563,131,21,0,2.645502646,1.650289746
58,ARKANSAS,SEBASTIAN,127351,37.1,40023,23383,27745,21.78624432,3167,267,100,2.881799122,2.486827744
59,ARKANSAS,SEVIER,17193,35.2,38956,17458,3804,22.12528355,533,59,15,4.304077241,3.100098877
60,ARKANSAS,SHARP,17027,47.9,31068,19404,3711,21.7947965,509,21,19,2.349210078,2.989369824
61,ARKANSAS,STONE,12503,49.1,30486,19616,2925,23.39438535,382,83,0,6.638406782,3.055266736
62,ALABAMA,AUTAUGA,55049,37.8,53099,26168,6697,12.16552526,1437,543,30,10.40890843,2.610401642
63,ALABAMA,BALDWIN,199510,42.3,51365,28069,25551,12.80687685,5887,521,87,3.047466292,2.950729287
64,ALABAMA,BARBOUR,26614,38.7,33956,17249,6235,23.42751935,1323,197,8,7.702712858,4.971067859
65,ALABAMA,BIBB,22572,40.2,39776,18988,3390,15.01860712,643,94,4,4.341662236,2.848662059
66,ALABAMA,BLOUNT,57704,40.8,46212,21033,9441,16.36108415,1367,268,30,5.164286705,2.368986552
67,ALABAMA,BULLOCK,10552,39.2,29335,17909,2728,25.85291888,638,84,17,9.571645186,6.046247157
68,ALABAMA,BUTLER,20280,40.6,34315,19011,5126,25.27613412,849,88,40,6.311637081,4.186390533
69,ALABAMA,CALHOUN,115883,39.1,41954,22231,22135,19.10116238,6218,569,67,5.488294228,5.365756841
70,ALABAMA,CHAMBERS,34018,43.1,36027,21532,6805,20.00411547,1136,113,10,3.615732847,3.339408548
71,ALABAMA,CHEROKEE,25897,45.7,38925,22544,4188,16.17175735,634,148,0,5.714947677,2.448160019
72,ALABAMA,CHILTON,43817,38.7,42594,22045,8779,20.03560262,1520,226,0,5.15781546,3.46897323
73,ALABAMA,CHOCTAW,13287,45.1,32622,20773,2743,20.64423873,673,15,0,1.128923007,5.065101227
74,ALABAMA,CLARKE,24847,42,32735,20543,6023,24.24035095,1681,81,0,3.2599509,6.765404274
75,ALABAMA,CLAY,13483,43.7,38815,21115,2195,16.2797597,386,15,7,1.631684343,2.862864348
76,ALABAMA,CLEBURNE,14991,41.5,36316,19791,2889,19.27156294,450,16,1,1.134013742,3.001801081
77,ALABAMA,COFFEE,50991,39.3,47872,25325,8219,16.11853072,1410,216,15,4.530211214,2.765193858
78,ALABAMA,COLBERT,54377,42.4,43786,23318,8910,16.38560421,1795,83,26,2.004523972,3.301028008
79,ALABAMA,CONECUH,12697,44,27609,16004,4107,32.34622352,974,28,0,2.205245334,7.67110341
80,ALABAMA,COOSA,10864,44.9,31910,18080,1610,14.81958763,539,42,14,5.154639175,4.961340206
81,ALABAMA,COVINGTON,37729,42.9,37313,21738,7031,18.63553235,1723,110,68,4.717856291,4.56677887
82,ALABAMA,CRENSHAW,13896,41.6,37557,20455,2484,17.87564767,452,34,2,2.590673575,3.2527346
83,ALABAMA,CULLMAN,81316,40.5,39297,21041,13718,16.86998869,2081,270,43,3.849180973,2.55915195
84,ALABAMA,DALE,49607,36.9,44093,22834,9897,19.95081339,2145,120,38,3.18503437,4.323986534
85,ALABAMA,DALLAS,41426,38.9,28136,17611,14027,33.86037754,2517,261,17,6.710761358,6.075894366
86,ALABAMA,DEKALB,70937,39.3,38248,18685,13872,19.55538013,1894,272,35,4.327783808,2.669974766
87,ALABAMA,ELMORE,80957,38.3,53398,24771,10893,13.45529108,2694,496,125,7.670738787,3.327692479
88,ALABAMA,ESCAMBIA,37875,39.9,32334,17420,8894,23.48250825,2153,206,51,6.785478548,5.684488449
89,ALABAMA,ETOWAH,103363,40.9,40478,21287,18713,18.10415719,3837,375,21,3.831158151,3.712160057
90,ALABAMA,FAYETTE,16783,43.6,36205,20201,2863,17.05892868,598,72,0,4.290055413,3.563129357
91,ALABAMA,FRANKLIN,31573,39.1,36138,18193,6951,22.01564628,1323,73,21,2.977227378,4.190289171
92,ALABAMA,GENEVA,26765,42,36519,20189,6011,22.45843452,1175,107,5,4.1845694,4.390061648
93,ALABAMA,GREENE,8587,41.3,21339,13679,3233,37.64993595,521,0,0,0,6.067311052
94,ALABAMA,HALE,15159,39.7,33351,19296,3858,25.45022759,691,26,14,2.638696484,4.558348176
95,ALABAMA,HENRY,17187,43.2,41045,22825,2586,15.04625589,574,32,33,3.781928202,3.33973352
96,ALABAMA,HOUSTON,103891,39.3,41945,24086,19415,18.68785554,3845,376,64,4.235208055,3.700994311
97,ALABAMA,JACKSON,52608,42.8,38422,20487,9780,18.59032847,1975,187,60,4.695103406,3.754181873
98,ALABAMA,JEFFERSON,659096,37.5,47220,28162,116750,17.71365628,26632,1720,377,3.181630597,4.040686031
99,ALABAMA,LAMAR,14066,44.3,34298,20206,3322,23.61723304,542,28,39,4.763258922,3.853263188
100,ALABAMA,LAUDERDALE,92641,41.3,43657,24893,16538,17.85170713,3249,358,72,4.641573385,3.507086495
101,ALABAMA,LAWRENCE,33433,42.2,42339,21911,6050,18.09589328,1145,96,26,3.649089223,3.424759968
102,ALABAMA,LEE,153947,30.5,45056,24951,34085,22.14073675,4579,457,88,3.540179412,2.974400281
103,ALABAMA,LIMESTONE,90257,39,51115,26086,12290,13.61667239,3304,259,118,4.176961344,3.660657899
104,ALABAMA,LOWNDES,10565,40.4,27914,18434,3005,28.44297208,498,47,11,5.489824894,4.713677236
105,ALABAMA,MACON,19684,38.2,32390,18385,4442,22.56655151,1344,143,55,10.05893111,6.827880512
106,ALABAMA,MADISON,349973,38.1,60150,33264,45287,12.9401411,13257,766,465,3.517414201,3.788006503
107,ALABAMA,MARENGO,20066,42.2,30713,20359,5504,27.42948271,1087,52,11,3.139639191,5.417123492
108,ALABAMA,MARION,30239,43.9,34074,20998,5509,18.21819505,973,174,6,5.952577797,3.217698998
109,ALABAMA,MARSHALL,94534,38.8,39831,21767,19138,20.24456809,2965,366,46,4.358220323,3.136437684
110,ALABAMA,MOBILE,414291,37.2,44263,23318,78633,18.98013715,16358,956,393,3.256165352,3.948432382
111,ALABAMA,MONROE,21975,41.5,28182,16556,6972,31.72696246,1808,137,38,7.963594994,8.227531286
112,ALABAMA,MONTGOMERY,227392,36,45358,26255,46982,20.66123698,9320,1208,399,7.067091191,4.098649029
113,ALABAMA,MORGAN,119555,39.8,46883,24415,19172,16.036134,4964,371,65,3.646857095,4.152063904
114,ALABAMA,PERRY,9856,37.1,24912,14033,3605,36.57670455,339,28,22,5.073051948,3.439529221
115,ALABAMA,PICKENS,20042,42.2,31679,19188,4575,22.82706317,968,73,9,4.091408043,4.8298573
116,ALABAMA,PIKE,33277,31.2,33193,20180,8074,24.26300448,1546,121,26,4.417465517,4.645851489
117,ALABAMA,RANDOLPH,22615,42.8,37496,19584,4542,20.08401503,735,72,0,3.183727614,3.250055273
118,ALABAMA,RUSSELL,58636,34.8,38400,20760,12423,21.18664302,2435,196,18,3.649635036,4.152738932
119,ALABAMA,ST. CLAIR,86576,40,54042,24474,11582,13.37784143,2626,354,102,5.267048605,3.033173166
120,ALABAMA,SHELBY,205951,38.1,72310,34117,17227,8.364611,4976,850,116,4.690436075,2.416108686
121,ALABAMA,SUMTER,13285,36.5,20428,13929,4582,34.49002635,782,31,37,5.118554761,5.886337975
122,ALABAMA,TALLADEGA,81057,40.8,37923,20430,16119,19.88600614,4224,192,46,2.936205386,5.211147711
123,ALABAMA,TALLAPOOSA,40958,43,39395,21410,9431,23.02602666,1641,75,7,2.002050881,4.006543288
124,ALABAMA,TUSCALOOSA,202471,32.1,48022,23896,34470,17.02466032,6782,786,184,4.790809548,3.3496155
125,ALABAMA,WALKER,65593,42.3,37025,20410,14174,21.60901316,2938,282,8,4.421203482,4.479136493
126,ALABAMA,WASHINGTON,16909,41.4,40293,19598,3585,21.20172689,1086,38,33,4.198947306,6.422615175
127,ALABAMA,WILCOX,11119,40.2,24442,14800,3768,33.88793956,763,47,0,4.226998831,6.862127889
128,ALABAMA,WINSTON,24013,44.1,33896,19299,4833,20.12659809,855,188,14,8.412110107,3.560571357
129,ALASKA,ALEUTIANS EAST BOROUGH,3299,42.8,65926,31025,510,15.45923007,66,23,6,8.790542589,2.000606244
130,ALASKA,ALEUTIANS WEST CENSUS AREA,5714,37.6,86964,35083,426,7.455372769,45,32,1,5.775288764,0.787539377
131,ALASKA,ANCHORAGE MUNICIPALITY,299321,32.8,80862,37864,23652,7.901884599,9857,1032,364,4.663889269,3.293120095
132,ALASKA,BETHEL CENSUS AREA,17885,26.8,53296,18231,4619,25.82611127,1440,113,34,8.219178082,8.051439754
133,ALASKA,BRISTOL BAY BOROUGH,942,40.7,88000,41420,67,7.112526539,32,2,0,2.123142251,3.397027601
134,ALASKA,DENALI BOROUGH,2125,37.3,81302,38337,233,10.96470588,16,6,0,2.823529412,0.752941176
135,ALASKA,DILLINGHAM CENSUS AREA,4980,29.7,56055,23520,815,16.36546185,245,24,4,5.62248996,4.919678715
136,ALASKA,FAIRBANKS NORTH STAR BOROUGH,100150,30.7,73831,34182,7444,7.432850724,4344,186,69,2.546180729,4.337493759
137,ALASKA,HAINES BOROUGH,2528,44.6,53125,32673,132,5.221518987,54,2,0,0.791139241,2.136075949
138,ALASKA,HOONAH-ANGOON CENSUS AREA,2107,48.4,54091,31451,260,12.33981965,119,4,0,1.898433792,5.647840532
139,ALASKA,JUNEAU CITY AND BOROUGH,32524,37.5,87436,40592,2365,7.271553314,929,115,46,4.950190628,2.856352232
140,ALASKA,KENAI PENINSULA BOROUGH,57637,40.5,64891,32556,6175,10.71360411,2451,181,12,3.34854347,4.252476708
141,ALASKA,KETCHIKAN GATEWAY BOROUGH,13715,39.2,64162,32694,1453,10.59423988,559,67,29,6.999635436,4.075829384
142,ALASKA,KODIAK ISLAND BOROUGH,13918,32.7,73068,32066,1247,8.959620635,272,184,23,14.87282656,1.954303779
143,ALASKA,KUSILVAK CENSUS AREA,7993,23.3,38160,11701,2862,35.80633054,773,40,19,7.381458776,9.670962092
144,ALASKA,LAKE AND PENINSULA BOROUGH,1411,31.9,43864,22684,263,18.63926293,82,3,0,2.126151665,5.811481219
145,ALASKA,MATANUSKA-SUSITNA BOROUGH,98679,34.8,73908,30078,9350,9.475166955,4596,465,103,5.756037252,4.657525917
146,ALASKA,NOME CENSUS AREA,9879,27.7,51563,20033,2593,26.24759591,758,67,26,9.41390829,7.672841381
147,ALASKA,NORTH SLOPE BOROUGH,9681,33.8,72027,49982,1070,11.05257721,597,19,0,1.962607169,6.166718314
148,ALASKA,NORTHWEST ARCTIC BOROUGH,7723,26.3,61341,21028,1874,24.26518192,749,58,5,8.157451767,9.698303768
149,ALASKA,PETERSBURG BOROUGH,3196,40.8,63940,34788,294,9.198998748,101,7,3,3.128911139,3.16020025
150,ALASKA,PRINCE OF WALES-HYDER CENSUS AREA,6374,40.5,51887,25564,938,14.71603389,439,45,14,9.256353938,6.887354879
151,ALASKA,SITKA CITY AND BOROUGH,8921,39.1,70160,35655,796,8.922766506,224,23,13,4.035422038,2.510929268
152,ALASKA,SKAGWAY MUNICIPALITY,1014,44.1,64853,39412,53,5.226824458,50,10,3,12.82051282,4.930966469
153,ALASKA,SOUTHEAST FAIRBANKS CENSUS AREA,6970,36.4,63713,30757,941,13.50071736,312,34,13,6.743185079,4.476327116
154,ALASKA,VALDEZ-CORDOVA CENSUS AREA,9522,37.6,82511,35457,802,8.422600294,446,44,150,20.37387104,4.683889939
155,ALASKA,WRANGELL CITY AND BOROUGH,2401,48.8,52986,29782,237,9.87088713,85,4,10,5.83090379,3.540191587
156,ALASKA,YAKUTAT CITY AND BOROUGH,646,40.5,66875,31084,51,7.894736842,28,7,1,12.38390093,4.334365325
157,ALASKA,YUKON-KOYUKUK CENSUS AREA,5600,35.2,38451,20812,1304,23.28571429,470,11,0,1.964285714,8.392857143
158,ARIZONA,APACHE,72346,33.5,32460,13428,25658,35.46567882,3428,254,231,6.70389517,4.738340751
159,ARIZONA,COCHISE,128177,40.3,45383,23757,22184,17.30731723,4022,1411,246,12.92743628,3.137848444
160,ARIZONA,COCONINO,138064,30.7,51106,24711,28193,20.42023989,5859,465,97,4.070575965,4.243684089
161,ARIZONA,GILA,53179,48.9,40593,21470,11097,20.86725963,2487,264,54,5.979804058,4.676658079
162,ARIZONA,GRAHAM,37529,32.4,47422,17710,7419,19.7687122,2025,381,70,12.01737323,5.395827227
163,ARIZONA,GREENLEE,9224,33.3,51813,23778,1216,13.18300087,347,82,15,10.5160451,3.761925412
164,ARIZONA,LA PAZ,20304,55.1,36321,21447,4243,20.89736013,752,207,19,11.13081166,3.703703704
165,ARIZONA,MARICOPA,4088549,35.8,55676,28791,666513,16.30194477,136703,11703,3535,3.726994589,3.343557825
166,ARIZONA,MOHAVE,203629,49.7,39856,22026,37884,18.60442275,8885,632,153,3.855050116,4.363327424
167,ARIZONA,NAVAJO,108209,35.8,36868,16564,31575,29.1796431,7359,520,123,5.942204438,6.80072822
168,ARIZONA,PIMA,1003338,38.1,46764,26204,186299,18.56792028,43458,6608,1394,7.975378188,4.33134198
169,ARIZONA,PINAL,397604,38.3,51190,21982,61430,15.45004577,14670,3492,1143,11.65732739,3.689600708
170,ARIZONA,SANTA CRUZ,46547,36.4,38941,18860,10083,21.66197607,1879,339,11,7.519281586,4.036780029
171,ARIZONA,YAVAPAI,218586,51.9,46638,26584,31512,14.41629382,7730,506,202,3.238999753,3.536365549
172,ARIZONA,YUMA,203292,34,41467,19483,40330,19.83845897,10368,2342,354,13.26171222,5.100053126
173,ARKANSAS,ARKANSAS,18569,41.2,37330,23287,3587,19.31714147,806,110,21,7.054768701,4.340567613
174,ARKANSAS,ASHLEY,20989,41.5,36352,20290,4131,19.68173805,894,106,6,5.336128448,4.259373958
175,ARKANSAS,BAXTER,40992,51.8,38115,23068,5600,13.66120219,1016,61,26,2.12236534,2.478532397
176,ARKANSAS,BENTON,245231,35.1,59016,28996,27562,11.23919896,4098,501,118,2.524150699,1.671077474
177,ARKANSAS,BOONE,37301,42.4,38664,21719,6409,17.18184499,1404,129,0,3.458352323,3.763974156
178,ARKANSAS,BRADLEY,11096,40.9,34665,20465,3163,28.50576784,498,34,4,3.424657534,4.488103821
179,ARKANSAS,CALHOUN,5210,44.9,35446,21093,969,18.59884837,162,0,0,0,3.10940499
180,ARKANSAS,UNION,40334,39.5,39836,22240,8220,20.37982843,1602,135,42,4.388357217,3.971835176
181,ARKANSAS,VAN BUREN,16892,47.2,34576,19883,3084,18.25716315,745,46,0,2.723182572,4.410371774
182,ARKANSAS,WASHINGTON,219930,31.4,45442,25249,40272,18.31128086,5742,609,82,3.141908789,2.610830719
183,ARKANSAS,WHITE,78823,36.1,42197,22510,13201,16.7476498,2160,454,246,8.880656661,2.740316913
184,ARKANSAS,WOODRUFF,6873,43.8,30383,18382,1622,23.59959261,357,9,7,2.327949949,5.194238324
185,ARKANSAS,YELL,21716,39.3,39323,18981,3738,17.21311475,639,33,11,2.02615583,2.942530853
186,CALIFORNIA,ALAMEDA,1605217,37.2,79831,39042,189590,11.8108642,61327,2522,654,1.978548695,3.820480346
187,CALIFORNIA,ALPINE,1184,42.8,62375,26783,221,18.66554054,55,8,5,10.97972973,4.64527027
188,CALIFORNIA,AMADOR,36963,50.3,57032,27496,3684,9.96672348,1677,295,93,10.49698347,4.536969402
189,CALIFORNIA,BUTTE,223877,36.9,44366,25077,46456,20.75068006,10933,588,46,2.831912166,4.883485128
190,CALIFORNIA,CALAVERAS,44787,51.2,53502,30577,5641,12.59517271,1758,133,105,5.314042021,3.925246165
191,CALIFORNIA,COLUSA,21361,34.7,54946,25745,2859,13.38420486,871,36,29,3.042928702,4.07752446
192,CALIFORNIA,CONTRA COSTA,1107925,39.1,82881,40792,111922,10.10194733,43374,3317,816,3.730396913,3.914885935
193,CALIFORNIA,DEL NORTE,27628,38.1,42363,20282,5219,18.89025626,1041,573,58,22.83914869,3.767916606
194,CALIFORNIA,EL DORADO,183000,45.2,72586,37089,17839,9.748087432,8506,981,165,6.262295082,4.648087432
195,CALIFORNIA,FRESNO,963160,31.6,45963,21057,254872,26.46206238,51478,3880,830,4.890153246,5.3446987
196,CALIFORNIA,GLENN,27976,36.9,41699,20362,5578,19.93851873,1172,44,9,1.894480984,4.189305119
197,CALIFORNIA,HUMBOLDT,135182,37.6,42685,24038,27641,20.44724889,6228,516,144,4.882306816,4.60712225
198,CALIFORNIA,IMPERIAL,178807,32.2,42560,16311,40552,22.6792016,12048,2166,309,13.84173998,6.737991242
199,CALIFORNIA,INYO,18326,45.4,47278,28678,1905,10.39506712,555,93,15,5.893266397,3.028484121
200,CALIFORNIA,KERN,871337,31.2,49788,21094,194354,22.30526191,44848,4842,1248,6.989259035,5.147032664
201,CALIFORNIA,KINGS,150261,31.4,47241,19123,28661,19.07414432,6890,1204,248,9.663186056,4.585354816
202,CALIFORNIA,LAKE,64076,45.8,36132,21799,15561,24.2852238,3554,285,5,4.525875523,5.546538486
203,CALIFORNIA,LASSEN,31945,36.4,51457,20072,3558,11.13789325,942,1091,106,37.47065268,2.948818281
204,CALIFORNIA,LOS ANGELES,10057155,35.8,57952,29301,1764081,17.54055695,460565,19801,5371,2.502894705,4.579476005
205,CALIFORNIA,MADERA,153366,33.5,45742,19021,32043,20.89315754,4872,377,257,4.133901908,3.176714526
206,CALIFORNIA,MARIN,259358,45.7,100310,63608,20445,7.882926303,7021,550,181,2.818497983,2.707068993
207,CALIFORNIA,MARIPOSA,17645,50.6,49265,27832,2849,16.14621706,780,78,49,7.197506376,4.420515727
208,CALIFORNIA,MENDOCINO,87409,42.3,43510,25278,17366,19.86751936,4526,202,36,2.722831745,5.177956503
209,CALIFORNIA,MERCED,265001,30.6,44397,19130,62661,23.64557115,18143,839,49,3.350930751,6.846389259
210,CALIFORNIA,MODOC,9033,47.1,41194,21899,1483,16.41757998,259,46,0,5.092438835,2.867264475
211,CALIFORNIA,MONO,14051,38.9,58937,31059,1222,8.696889901,665,95,0,6.76108462,4.732759234
212,CALIFORNIA,MONTEREY,430201,33.7,60889,25947,66289,15.40884377,13288,1612,549,5.023233326,3.088788729
213,CALIFORNIA,NAPA,140823,40.7,74609,38057,12086,8.582404863,4910,502,110,4.345881,3.486646357
214,CALIFORNIA,NEVADA,98639,49.5,57429,33385,11835,11.99829682,3968,256,81,3.416498545,4.022749622
215,CALIFORNIA,ORANGE,3132211,37.3,78145,35939,385556,12.30938784,111106,6068,1677,2.472694209,3.547206749
216,CALIFORNIA,PLACER,370571,41.5,76926,37914,31932,8.616972186,12582,1527,304,4.941023448,3.395300766
217,CALIFORNIA,PLUMAS,18754,51.7,50125,31292,2346,12.50933134,977,129,32,8.584835235,5.209555295
218,CALIFORNIA,RIVERSIDE,2323892,34.8,57972,24443,376689,16.20940216,120960,10349,2168,5.386222768,5.205061165
219,CALIFORNIA,SACRAMENTO,1479300,35.7,57509,28292,260877,17.63516528,74025,5255,1266,4.408166024,5.004055972
220,CALIFORNIA,SAN BENITO,58051,35.1,73814,27848,6224,10.72160686,3211,403,38,7.596768359,5.531343129
221,CALIFORNIA,SAN BERNARDINO,2106754,32.7,54469,21857,392195,18.61607952,104472,8188,2322,4.98871724,4.958908349
222,CALIFORNIA,SAN DIEGO,3253356,35.3,66529,32482,444024,13.6481836,126990,10836,2265,4.026918665,3.903353952
223,CALIFORNIA,SAN FRANCISCO,850282,38.4,87701,55567,104180,12.25240567,32234,1159,320,1.739422921,3.790977582
224,CALIFORNIA,SAN JOAQUIN,714860,33.7,55045,23477,124587,17.42816775,38954,2480,617,4.332316817,5.44917886
225,CALIFORNIA,SAN LUIS OBISPO,278680,39,64014,32335,37208,13.35151428,7479,1676,255,6.929094302,2.683723267
226,CALIFORNIA,SAN MATEO,754748,39.5,98546,50262,57490,7.617111937,23439,1894,477,3.141445887,3.105539862
227,CALIFORNIA,SANTA BARBARA,439395,33.7,65161,31098,66880,15.22092878,16101,1437,243,3.823439047,3.664356672
228,CALIFORNIA,SANTA CLARA,1885056,36.8,101173,46034,172213,9.135696764,65981,2933,661,1.906574659,3.500214317
229,CALIFORNIA,SANTA CRUZ,270931,37,70088,34732,39211,14.47268862,10361,705,231,3.454754162,3.824220927
230,CALIFORNIA,SHASTA,179228,42.3,45582,25094,30945,17.26571741,6728,629,100,4.067444819,3.753877742
231,CALIFORNIA,SIERRA,2931,55.2,43984,31873,329,11.22483794,50,4,6,3.411804845,1.705902422
232,CALIFORNIA,SISKIYOU,43668,47.9,38524,23542,9524,21.81002107,2161,193,21,4.900613722,4.948703856
233,CALIFORNIA,SOLANO,429596,37.5,69227,30251,53265,12.39885846,21347,2553,514,7.139265729,4.969087235
234,CALIFORNIA,SONOMA,497776,41.2,66833,35639,55095,11.06823149,18297,1381,541,3.861174504,3.675749735
235,CALIFORNIA,STANISLAUS,530561,33.8,51591,22915,95739,18.04486195,33913,1801,186,3.745092459,6.391913465
236,CALIFORNIA,SUTTER,95406,35.6,52943,24335,16535,17.3311951,4836,341,37,3.962014968,5.068863593
